video ID,uploader,age,category,length,views,rate,ratings,comments,Related IDs
WdOEWNoaYJs,bigtubebrasil,721.0,Comedy,577.0,19678.0,4.07,14.0,3.0,"JaMbHVvOd9c,r6R3HDmDD60,yVyME1jQ-1Y,pIUY8c7lI8E,73DTj4y1aEU,ZyCHs13h4MA,dCM8FEuNFjU,tfyYbzXWiLs,edhAivxmOcE,tfRUlWjZkn4,I775Vts8acY,2xOpuuEtw-o,hzS11g4q6FM,PCh3JOGRYeY,-EGs-_H2WjI,MApqB2ZY-cQ,vL43D3Wg7ME,5MvAYG2hJEY,SKnHxUMt3pc,1VKCScqDfOU"
r6R3HDmDD60,bigtubebrasil,721.0,Comedy,569.0,13537.0,4.5,12.0,5.0,"JaMbHVvOd9c,WdOEWNoaYJs,yVyME1jQ-1Y,pIUY8c7lI8E,73DTj4y1aEU,ZyCHs13h4MA,dCM8FEuNFjU,tfyYbzXWiLs,edhAivxmOcE,tfRUlWjZkn4,I775Vts8acY,2xOpuuEtw-o,hzS11g4q6FM,PCh3JOGRYeY,-EGs-_H2WjI,MApqB2ZY-cQ,vL43D3Wg7ME,5MvAYG2hJEY,SKnHxUMt3pc,1VKCScqDfOU"
17Sk9R5libY,usevideodotcomdotau,721.0,News & Politics,126.0,242.0,0.0,0.0,0.0,"Wbq1dwKTqzE,wrNv3_TCqcI,IwTayw9Qbj8,GjOLTHax2-k,Q8DQnjK6Z0A,Jle61w76oGU,0Yku0GTrcuw,IF33gR73x4M,HP_dga7-CE8,HfGR0LGwvHs,Myl8z7OZC-M,6-crjGMTerc,C6ZGDQLyAOI,30g6IZuEiyI,22zcbGZvGx8,Nv00ZS5kQTw,nJJ_Ej5fo-k,Q9eegpDX8oI,4P-d839Pxe4,lCeSwAEw8Ms"
HP_dga7-CE8,usevideodotcomdotau,721.0,News & Politics,186.0,51.0,0.0,0.0,0.0,"IF33gR73x4M,HfGR0LGwvHs,22zcbGZvGx8,17Sk9R5libY,Wbq1dwKTqzE,0Yku0GTrcuw,6-crjGMTerc,zig_AWBloPc,nJJ_Ej5fo-k,aJ0cbHFr2ss,2ZeR6Ja0FDo,3UCc5XTeDqo,6gmP4nk0EOE,4jrgMlufa7w,n6Ztzy4Tb4c,yxnJCX818fo,tfbJbJ9OLhQ,iG6uhKtR3uo,2MZOK0txbLs,55Q4BwkkRQU"
TmlDApH-DTo,BlackDonnellysNBC,721.0,Entertainment,56.0,1032.0,3.5,4.0,0.0,"F_HYp_rMKNw,JO8KUoX3a8Y,c1h1Y5WmCEU,Cn-UGuBeF0U,iZSJAzueLgs,UCIsUZtaD-k,LPdmuUTaQGE,04DAaGmHymo,O90Ce1N-UNQ,dcB1RubYfjg,AV3d9K12s-Y,uKuym66LIr4,XWfV8j3eCrI,2ihP6tL7W24,GAHIIx_7g3Q,D3PLHMA5SLI,KUdiAHMKjO4,dAp8-ae2oHY,XaWWgbvKRKk,kC3o8pmYZys"
sk5jsIdqVds,lionheartpalmer,721.0,Entertainment,381.0,664.0,1.0,1.0,2.0,"xsDWqSEDH3k,ZPrq_wiPtUY,XkDLszUDfaI,hyuB4Z29y0s,XOWW_ljCkbQ,8Mjs1y5MD4g,K81b8SRw_1U,UrsD_PX9soA,129UsCesLbE,PPJIqeAwEUg,bOj4CStFo3I,PJeq8FL0PhQ,wNzlltGnZ7s,dYjZI2z0upk,DbsbNo3aI_g,YqPcYGdX8rs,yE9bcPfNkOs,YCfqCYsiAro,sRTthyjgRXM,wU_wVRrYZzc"
Mz_RMxHbZ2k,ichannel,721.0,Comedy,225.0,12777.0,4.79,245.0,202.0,"eyUSTmEUQRg,Wtj31off8-I,FDIH1GNQXQE,mDjwzhc8dQ0,NyC_0Z6zoUk,N4EYgXReBzM,OHkEzL4Unck,4DxyF39Myto,yyIeNM-pomc,kd2-5Olz3Fw,fme-6AuouIw,WgAh8EcHmcY,MydHXSjZgp4,j26XRPFpwoo,S98nE3VXWjQ,R2gFepWlI0Q,KN_-lUhlOik,sic6kY67NQg,gF3Gpg3Xg7U,KF9Xk2vzDfw"
bjn4tXgqz8A,Trackerino,721.0,Entertainment,147.0,1686.0,5.0,9.0,3.0,"gdRTCOSwdyU,bht-gY05GFc,T-TJidKeO0Y,X4VyGSJcNj0,ydKTaJzttOg,WT1l1yFXf4I,WsgF_wCF6mA,nb6I-KoG4kI,YzfOBvbxRi4,XRESdxzojRw,VDS4ZHQyfmU,ryPtvGaX38s,YmTy6I1H6y4,Umc7J-lChT0,kF2Z6UdcF44,DzrKA-h76X0,AfxCG6JvbVU,wdBgfEpAE2c,8XYve0XVl7E,Samkt7NcSfE"
6Yqa4BR0Paw,CapnOAwesome,721.0,People & Blogs,63.0,5976.0,4.49,259.0,206.0,"KTQ3m7eZvA4,hXcb2alUT1k,I_3lekGfPo4,gPLPJqllWIc,SrHD4ZqgZcw,-eTtvfNV2Wc,tze4Jyh-X0M,bZRCUYOwvAQ,-z8eDAHzV5c,zk1Vr0gdsyk,c4_FqGIVUp4,yREY_xNy0nM,iLlZG7_ypXU,QBtm3-LP11Y,sMInSTZdBFs,AocSovg6pKk,QeWY8pPCsjA,q840_2g3JZk,iEnywE-nym0,aXl3eFIRJ2U"
1i7o7BwtjrA,tuskaiae,721.0,Music,129.0,329.0,4.5,10.0,16.0,"L_ONQjNR3wQ,D3pbkcXN4wo,ZT8ZZSRdmzQ,SMPuGv0NTwg,p8mGKvgLEU4,AS7aQb46N2w,huxJF9MkC5k,TyQ1by3Bg2A,BBmx-duYZ6E,48RNYuxAQos,bCTkhGQgG-g,HWHs-0fDk-M,0lg3Q7KS_Es,qDJHTWFS98A,wlKZ04_OPxQ,AgSaHjtHcdk,pL_E0ndJRr4,l6pQiXn-pyU,x-jt3KKfcro,wI8H2hHhp78"
RX197R7nMXw,TerrorFreeOil3,721.0,News & Politics,225.0,2706.0,5.0,33.0,35.0,"PwRN4lkCJkI,PUFFbQR-7Ak,84hKAT-WAvg,FRRoZ7FNF6A,rmaoCkwtvk8,DsdpLqU1vzc,4TsDmHhzWks,8Ul9bUZVdC0,TVzCoc1turg,QNtsJXDutxk,TMqlCSQAFNs,oBykTi39omU,UCDwzVzsU3g,29i_y0dQg0Q,TekRYp1ejdI,gTG96tOpkoI,AoRgbBTE_gw,U_Fiy9rfft0,dDxkcwkqbRw,Oevwlnu0vB4"
